"","Day","Month","Year","Waterbody","Site","Sex","CW","Color","Barnacles","YearClass","TrapType","X","X.1","age_march","age_feb","sex_int"
"1",14,4,2021,"Drayton Harbor","North","Male",48,"Light-Orange","No",2020,"Minnow",NA,NA,1.11111111111111,1.16666666666667,2
"2",14,4,2021,"Drayton Harbor","North","Male",44.5,"Light-Orange","No",2020,"Minnow",NA,NA,1.11111111111111,1.16666666666667,2
"3",14,4,2021,"Drayton Harbor","Dakota Creek","Male",73,"Orange","No",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,2
"4",14,4,2021,"Drayton Harbor","Dakota Creek","Male",54.5,"Light-Orange","No",2020,"Minnow",NA,NA,1.11111111111111,1.16666666666667,2
"5",14,4,2021,"Drayton Harbor","California Creek","Male",49,"Light-Orange","No",2020,"Minnow",NA,NA,1.11111111111111,1.16666666666667,2
"6",27,4,2021,"Drayton Harbor","North","Female",46.5,"Green","No",2020,"Fukui",NA,NA,1.11111111111111,1.16666666666667,1
"7",27,4,2021,"Drayton Harbor","North","Male",72,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,2
"8",27,4,2021,"Drayton Harbor","North","Male",64,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,2
"9",28,4,2021,"Drayton Harbor","California Creek","Male",73,"Light-Orange","No",2019,"Hand",NA,NA,2.11111111111111,2.16666666666667,2
"10",29,4,2021,"Drayton Harbor","California Creek","Female",65,"Red/Orange","No",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,1
"11",29,4,2021,"Drayton Harbor","California Creek","Female",60.5,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,1
"13",30,4,2021,"Drayton Harbor","Dakota Creek","Female",68,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,1
"14",30,4,2021,"Drayton Harbor","Dakota Creek","Female",45,"Light-Green","No",2020,"Minnow",NA,NA,1.11111111111111,1.16666666666667,1
"15",30,4,2021,"Drayton Harbor","Dakota Creek","Female",69.5,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.11111111111111,2.16666666666667,1
"16",11,5,2021,"Drayton Harbor","North","Male",45,"Yellow","No",2020,"Fukui",NA,NA,1.22222222222222,1.25,2
"18",11,5,2021,"Drayton Harbor","Dakota Creek","Male",55.5,"Yellow","No",2020,"Fukui",NA,NA,1.22222222222222,1.25,2
"19",11,5,2021,"Drayton Harbor","Dakota Creek","Female",62,"Red/Orange","No",2019,"Fukui",NA,NA,2.22222222222222,2.25,1
"20",11,5,2021,"Drayton Harbor","Dakota Creek","Female",78,"Red/Orange","Yes",2019,"Fukui",NA,NA,2.22222222222222,2.25,1
"21",11,5,2021,"Drayton Harbor","California Creek","Female",63,"Red/Orange","No",2019,"Fukui",NA,NA,2.22222222222222,2.25,1
